r_e_calculated nPrimVtx avgMu clusterE clusterPt clusterPhi cluster_MASS cluster_sumCellE cluster_time cluster_fracE cluster_PTD cluster_ISOLATION cluster_FIRST_ETA cluster_FIRST_PHI cluster_FIRST_ENG_DENS cluster_SECOND_TIME cluster_SECOND_R cluster_SECOND_LAMBDA cluster_SECOND_ENG_DENS cluster_CENTER_LAMBDA cluster_CENTER_MAG cluster_CENTER_X cluster_CENTER_Y cluster_CENTER_Z cluster_ENG_BAD_CELLS cluster_ENG_BAD_HV_CELLS cluster_ENG_FRAC_EM cluster_ENG_FRAC_MAX cluster_ENG_FRAC_CORE cluster_ENG_POS cluster_DELTA_THETA cluster_DELTA_PHI cluster_CELL_SIGNIFICANCE cluster_CELL_SIG_SAMPLING cluster_N_BAD_CELLS cluster_BAD_CELLS_CORR_E cluster_LONGITUDINAL cluster_LATERAL cluster_SIGNIFICANCE nCluster cluster_N_BAD_HV_CELLS cluster_nCells cluster_nCells_tot r_e_predec cluster_ENG_CALIB_TOT cluster_ENG_TOT_frompred clusterECalib
1.0345769 31 60.5 5.7360773 5.689103 0.035328753 0.39494058 9.89925 2.221241 6.959314e-05 0.18364999 0.434913 -0.12588881 0.031356443 6.3393014e-07 6.528937 10921.882 17440.104 6.8618706e-13 136.7031 1644.0819 1630.4042 50.149044 -205.60298 0.0 1.1410165 0.83210987 0.091088675 0.2010152 6.291243 0.14664352 0.26994947 9.965935 2.0 0.0 0.0 0.843333 0.9764782 12.656244 17 5.0 88 123 0.99339956 5.54437 5.774189491285863 5.733985
0.99059695 30 57.5 12.139937 9.441221 2.0022128 0.26997715 16.098278 0.2595732 4.8620423e-05 0.38595995 0.10366293 -0.7389779 2.003947 2.215776e-06 0.64996314 1856.7668 195838.67 1.01290755e-11 452.6961 2368.244 -774.33545 1670.0771 -1489.9081 0.0 0.561859 0.74634415 0.28948665 0.583002 12.4685755 -0.029669514 -0.030182183 56.01398 2.0 0.0 0.0 0.22678065 0.6931011 28.457312 21 3.0 53 66 0.94451785 12.255174 12.85305195661469 12.137409
0.99514186 21 31.499998 13.450848 4.4860516 2.5045307 0.15962337 19.972431 -0.49368277 9.3116185e-05 0.28083184 0.49559778 1.7626587 2.5004823 5.527841e-06 0.2927624 2015.1376 15388.215 6.356277e-11 188.3695 4157.2427 -1110.5713 829.0095 3919.444 0.0 0.0 0.9492971 0.19727597 0.3105588 14.561278 -0.099926636 0.21839903 28.775728 6.0 0.0 0.0 0.80229235 0.78665483 15.35136 15 0.0 73 104 0.9634441 13.516513 13.961212695163114 13.454024
0.9980295 21 31.499998 5.1375294 4.9554443 0.61349213 0.15771776 6.8678975 0.22097482 0.00028116998 0.34639707 0.8473318 0.26938027 0.6137998 2.0060675e-06 1.9216489 1730.131 14193.5205 7.528742e-12 177.63751 1728.0004 1363.7808 958.91315 454.50278 0.0 0.3636228 0.9359801 0.24810255 0.40307683 5.679836 -0.059048526 0.18451871 26.808136 1.0 0.0 0.0 0.71313435 0.686159 14.709149 6 2.0 44 67 1.0016055 5.147673 5.129294317972495 5.138668
0.98187715 25 35.5 8.159732 3.4891856 -0.09086559 0.40192613 17.025248 1.7625371 0.00010386272 0.3681882 0.7405627 1.5054257 -0.08706282 6.15518e-08 8.935759 62484.977 387637.9 1.0511769e-14 1382.5864 5593.466 2330.1675 -207.91397 5080.743 0.0 0.0 0.15914853 0.28439754 0.42746332 9.518509 0.15947466 0.7793415 22.771498 18.0 0.0 0.0 0.6994181 0.87223035 7.043568 7 0.0 43 72 0.76188076 8.310339 10.709985641322666 8.159216
0.98555887 16 30.500002 5.8481183 3.82669 3.0083103 0.17047755 10.799828 -1.0130013 8.092433e-05 0.21779515 0.6738865 -0.98669463 3.0072055 1.0349909e-06 8.830718 3874.893 155897.64 3.1731484e-12 213.1841 2488.4636 -1611.8302 217.76167 -1883.3572 0.0 1.5463469 0.7312734 0.10677349 0.30865908 6.3646865 -0.07492625 -0.030202135 22.199442 1.0 0.0 0.0 0.97545594 0.86541253 9.39957 11 4.0 68 103 1.0564549 5.9338093 5.535606205243593 5.8447604
1.0370824 11 21.499998 5.6272216 2.7529724 1.3314879 0.44846675 10.064392 0.8124578 0.00031812603 0.23148121 0.92983866 -1.3311417 1.3336704 7.766894e-08 136.794 82270.42 412779.62 1.5560368e-14 3106.8005 4545.677 523.195 2172.4739 -3958.51 0.0 0.0 0.38132665 0.12744609 0.3236079 6.279499 -0.26783755 0.18697982 4.5795307 3.0 0.0 0.0 0.9143273 0.9360071 3.6864223 3 0.0 83 119 0.8994311 5.426012 6.256423199064386 5.6256175
1.0289254 13 22.5 5.460187 1.8252544 1.9183702 0.08418871 10.691632 0.320911 1.5393654e-05 0.2546318 0.60463494 1.7552091 1.9120433 2.554199e-06 0.8139927 3593.6157 269997.94 1.7184752e-11 430.63843 4411.827 -496.97742 1393.7709 4156.277 0.0 0.0 0.6840899 0.12553084 0.47942486 6.214458 0.011131277 -0.084416635 13.00648 5.0 0.0 0.0 0.761731 0.9031108 2.583721 3 0.0 72 94 0.7858491 5.306689 6.948136735156916 5.4598975
9.834367 28 49.500004 5.742367 0.56832737 -2.1807494 0.09784534 135.88911 -0.016025215 3.3612567e-05 0.36686173 0.5291856 2.9897914 -2.169788 3.7129018e-06 0.042761717 2724.5386 8013.5835 2.0400907e-11 442.44678 4187.982 -235.35367 -349.2039 4166.7563 0.0 0.0 0.99375933 0.24829884 0.36640874 7.2739697 -0.23492946 -0.35786742 4.590697 7.0 0.0 0.0 0.6428071 0.69965726 1.3114324 7 0.0 12 17 0.90171987 0.58390814 6.3682382866865295 0.6179965
1.0017195 19 32.5 18.324303 17.814548 2.6759486 0.9156123 24.973253 0.09252641 0.00049547094 0.16263756 0.6737494 -0.23861478 2.675149 2.2599688e-06 3.3299263 6509.641 17433.877 1.3499876e-11 156.35939 1696.6436 -1472.83 742.5438 -397.49207 0.0 1.4409784 0.927316 0.07884974 0.17491259 19.19342 0.01374001 0.15589377 46.782658 1.0 0.0 0.0 0.90495825 0.9596506 27.428377 3 10.0 158 213 1.0217637 18.292849 17.933992957471478 18.321083
