r_e_calculated nPrimVtx avgMu clusterE clusterPt clusterPhi cluster_MASS cluster_sumCellE cluster_time cluster_fracE cluster_PTD cluster_ISOLATION cluster_FIRST_ETA cluster_FIRST_PHI cluster_FIRST_ENG_DENS cluster_SECOND_TIME cluster_SECOND_R cluster_SECOND_LAMBDA cluster_SECOND_ENG_DENS cluster_CENTER_LAMBDA cluster_CENTER_MAG cluster_CENTER_X cluster_CENTER_Y cluster_CENTER_Z cluster_ENG_BAD_CELLS cluster_ENG_BAD_HV_CELLS cluster_ENG_FRAC_EM cluster_ENG_FRAC_MAX cluster_ENG_FRAC_CORE cluster_ENG_POS cluster_DELTA_THETA cluster_DELTA_PHI cluster_CELL_SIGNIFICANCE cluster_CELL_SIG_SAMPLING cluster_N_BAD_CELLS cluster_BAD_CELLS_CORR_E cluster_LONGITUDINAL cluster_LATERAL cluster_SIGNIFICANCE nCluster cluster_N_BAD_HV_CELLS cluster_nCells cluster_nCells_tot r_e_predec cluster_ENG_CALIB_TOT cluster_ENG_TOT_frompred clusterECalib
0.76246727 11 24.500002 0.36512464 0.3235578 -1.8189037 0.02080019 1.8109617 -0.007999382 2.0456671e-05 0.36546186 0.95054424 0.4986983 -1.8139051 3.3517261e-07 2.785697e-13 2100.3547 11883.247 2.320478e-13 180.17416 1878.946 -401.97217 -1618.2567 866.0843 0.0 0.098517075 1.0 0.21973991 0.36679652 0.7987287 -0.04935493 0.08004839 4.714586 1.0 0.0 0.0 0.66401255 0.7170821 1.238062 8 1.0 19 39 0.44585046 0.47887254 0.8189396956100483 0.36541653
1.156043 19 22.5 0.5437607 0.5290099 -3.139542 0.029941615 1.4127277 11.194595 7.645753e-06 0.35836446 0.5941546 -0.22672401 -3.1360488 2.1197768e-07 2.66009e-06 3876.4312 23774.398 6.663711e-14 382.1425 1904.4735 -1856.3732 -8.54052 -425.2354 0.0 0.0 0.9638493 0.24525982 0.4674859 0.85095805 -0.10221827 0.154762 5.888244 3.0 0.0 0.0 0.8182328 0.83573604 1.7675446 11 0.0 16 30 0.61703414 0.4703637 0.8812489694654496 0.54329944
0.6638082 19 27.5 0.727851 0.6917148 2.3143435 0.067396 1.5122349 1.6282655 1.8843135e-06 0.26041135 0.9684101 0.31884453 2.3115926 2.879711e-07 8.366625e-08 4183.008 15699.584 1.7788349e-13 221.42786 1787.424 -1145.5356 1256.4446 551.34344 0.0 0.1293313 0.96869373 0.12769222 0.26748636 1.504235 -0.05922719 0.31430534 5.04684 1.0 0.0 0.0 0.8622562 0.88104117 2.0488837 10 2.0 31 67 0.5770033 1.0964777 1.261432993537472 1.2569915
1.247683 18 29.5 0.6300153 0.57981116 -2.3952405 0.009239182 1.6152318 0.8078417 2.174011e-06 0.6629892 0.9375 0.4130717 -2.3942287 4.420724e-07 2.5850401e-08 597.06055 3880.217 2.610185e-13 267.1478 1893.79 -1278.2782 -1184.8435 740.66925 0.0 0.0 1.0 0.6435966 0.6758779 0.70784223 0.05887399 -0.01214179 7.1993356 2.0 0.0 0.0 0.32166502 0.25659537 3.0916412 14 0.0 9 18 0.72853583 0.5049482 0.8647691356511593 0.629856
0.87408495 20 25.5 0.47432652 0.46045268 -2.583691 0.019837966 0.8585812 -4.4386764 1.3920925e-05 0.33628038 0.37765145 -0.24349174 -2.5851622 5.400598e-07 0.22870706 2795.14 10435.312 4.1421014e-13 95.411026 1640.9346 -1352.9778 -841.76904 -391.84445 0.0 0.10299926 0.9240352 0.1700968 0.402134 0.6386313 0.059868935 -0.18509299 4.072509 1.0 0.0 0.0 0.42661837 0.8406598 2.1112041 8 2.0 12 21 0.8562786 0.54265493 0.5539394771748354 0.47448853
0.962842 21 34.5 0.89083856 0.4991299 2.576942 0.010526369 1.9903203 4.099122 1.7665232e-05 0.576 0.59817344 -1.1824172 2.5763469 3.7718888e-07 4.2747797e-07 957.0154 8293.184 1.9573133e-13 398.97488 2968.9314 -1404.6505 891.60504 -2458.9736 0.0 0.0 1.0 0.54708946 0.58981526 0.9234162 -0.097914934 0.49162632 6.262531 2.0 0.0 0.0 0.5130009 0.4230256 3.606494 11 0.0 12 17 0.8878151 0.9252178 1.003405506394293 0.8900765
0.81773347 19 21.499998 0.70400554 0.67086357 -0.94655836 0.014390882 1.6725947 -1.9957453 2.2067623e-05 0.54568505 0.75 0.31243068 -0.94746435 3.6438982e-07 0.0 997.0541 719.19385 1.8739444e-13 267.45673 1843.8884 1025.8414 -1426.9044 558.13776 0.0 0.0 1.0 0.49189582 0.50377846 0.8411909 -0.36515805 -0.059202608 6.8600087 2.0 0.0 0.0 0.101565115 0.4358702 3.6091971 5 0.0 9 18 0.75668305 0.860923 0.9303836527063742 0.70369184
1.2369208 18 31.499998 0.8662473 0.6551303 0.04896496 0.027944747 1.8733926 -3.9977076 2.3703155e-05 0.30819765 1.0 -0.7829889 0.056118123 6.9153174e-07 16.8939 3001.3657 10132.672 6.8051006e-13 71.91127 2055.376 1551.229 87.15442 -1345.6089 0.013311654 0.14529267 0.8602427 0.13975729 0.36636192 1.039607 -0.011963857 0.020206846 5.711092 1.0 1.0 13.311654 0.73923343 0.87034935 3.7593324 11 1.0 18 26 1.0850083 0.7003256 0.7983785008833574 0.8675902
0.9356825 17 30.500002 0.7524059 0.6898674 -0.548938 0.03890516 1.5453149 4.583777 0.00026668125 0.25798568 0.9396265 -0.42392215 -0.5544215 4.606004e-07 19.45977 2578.7905 16560.146 4.2748663e-13 164.8065 1793.8318 1396.6627 -866.5648 -718.49225 0.0 0.15691145 1.0 0.1221774 0.255222 1.2261934 -0.061601516 0.23200762 6.0502872 1.0 0.0 0.0 0.8406191 0.84619236 2.2785294 2 2.0 33 54 0.8071784 0.80412525 0.9321432535855766 0.9751795
0.7587289 22 39.5 0.56135696 0.3598031 -2.7322786 0.028106581 1.4664664 -0.29202956 9.28264e-06 0.43628398 0.6544451 -1.0129693 -2.7305071 2.9120667e-07 3.3757352e-09 6788.3364 21769.58 1.0920001e-13 206.36989 2551.469 -1499.463 -653.9477 -1958.0493 0.0 0.086076275 1.0 0.3965668 0.48488984 0.8165841 0.015611786 -0.012144602 4.3817725 2.0 0.0 0.0 0.67954904 0.8919894 1.6959654 9 2.0 18 32 0.87790143 0.739865 0.6394305110085081 0.562008
